,Product_Num,Est_Demand_All_Years
0,SH008,21.7
1,SH087,21.5
2,SH174,24.52857142857143
3,SH384,25.228571428571428
4,SH445,23.142857142857142
5,SH326,24.8
6,SH513,22.357142857142858
7,SH041,21.5
8,SH075,21.142857142857142
9,SH153,22.214285714285715
10,SH401,23.8
11,SH026,22.34285714285714
12,SH386,21.257142857142856
13,SH217,21.7
14,SH334,19.32857142857143
15,SH307,20.84285714285714
16,SH118,19.142857142857142
17,SH555,20.6
18,SH311,17.757142857142856
19,SH192,21.82857142857143
20,SH313,24.17142857142857
21,SH021,23.3
22,SH106,20.771428571428572
23,SH223,20.457142857142856
24,SH138,24.257142857142856
25,SH231,20.2
26,SH443,23.357142857142858
27,SH288,22.65714285714286
28,SH024,20.857142857142858
29,SH197,21.87142857142857
30,SH466,22.042857142857144
31,SH539,21.62857142857143
32,SH030,23.057142857142857
33,SH190,21.314285714285713
34,SH173,20.97142857142857
35,SH394,21.214285714285715
36,SH266,19.87142857142857
37,SH474,23.8
38,SH031,22.52857142857143
39,SH485,20.32857142857143
40,SH243,21.914285714285715
41,SH478,23.114285714285714
42,SH451,22.771428571428572
43,SH078,20.357142857142858
44,SH235,23.542857142857144
45,SH461,20.114285714285714
46,SH076,23.17142857142857
47,SH176,22.514285714285716
48,SH310,22.4
49,SH339,22.514285714285716
50,SH501,21.02857142857143
51,SH535,22.02857142857143
52,SH163,22.87142857142857
53,SH432,23.942857142857143
54,SH508,21.34285714285714
55,SH123,23.12857142857143
56,SH239,22.7
57,SH405,22.557142857142857
58,SH540,21.9
59,SH151,24.057142857142857
60,SH136,22.228571428571428
61,SH450,21.514285714285716
62,SH306,20.771428571428572
63,SH110,20.857142857142858
64,SH035,21.542857142857144
65,SH052,23.02857142857143
66,SH344,23.257142857142856
67,SH512,23.728571428571428
68,SH544,22.071428571428573
69,SH224,22.12857142857143
70,SH191,22.742857142857144
71,SH467,22.2
72,SH092,21.742857142857144
73,SH264,24.3
74,SH423,23.3
75,SH328,21.1
76,SH113,22.714285714285715
77,SH083,19.7
78,SH107,19.02857142857143
79,SH214,20.82857142857143
80,SH054,23.514285714285716
81,SH114,20.5
82,SH038,23.928571428571427
83,SH039,19.47142857142857
84,SH436,21.67142857142857
85,SH299,22.37142857142857
86,SH400,21.5
87,SH353,20.62857142857143
88,SH025,20.214285714285715
89,SH028,21.34285714285714
90,SH412,23.97142857142857
91,SH414,23.1
92,SH256,21.714285714285715
93,SH272,20.257142857142856
94,SH210,20.071428571428573
95,SH012,21.7
96,SH220,18.757142857142856
97,SH482,20.32857142857143
98,SH427,23.87142857142857
99,SH497,22.514285714285716
100,SH250,22.12857142857143
101,SH265,20.65714285714286
102,SH268,23.7
103,SH103,21.12857142857143
104,SH481,24.87142857142857
105,SH276,20.757142857142856
106,SH552,21.257142857142856
107,SH387,21.571428571428573
108,SH486,21.62857142857143
109,SH292,24.8
110,SH471,21.071428571428573
111,SH308,20.742857142857144
112,SH442,22.271428571428572
113,SH199,23.242857142857144
114,SH428,23.557142857142857
115,SH098,22.742857142857144
116,SH293,22.414285714285715
117,SH338,21.614285714285714
118,SH531,18.914285714285715
119,SH469,21.37142857142857
120,SH011,21.67142857142857
121,SH340,23.442857142857143
122,SH420,23.9
123,SH464,24.12857142857143
124,SH267,21.542857142857144
125,SH169,23.214285714285715
126,SH273,24.82857142857143
127,SH346,18.6
128,SH182,20.97142857142857
129,SH333,23.5
130,SH549,20.8
131,SH211,25.142857142857142
132,SH404,20.928571428571427
133,SH516,21.257142857142856
134,SH115,20.2
135,SH342,19.9
136,SH321,20.242857142857144
137,SH154,21.857142857142858
138,SH301,22.814285714285713
139,SH069,20.82857142857143
140,SH557,23.514285714285716
141,SH479,24.414285714285715
142,SH385,23.84285714285714
143,SH502,23.7
144,SH240,23.457142857142856
145,SH047,20.52857142857143
146,SH393,21.142857142857142
147,SH213,21.84285714285714
148,SH343,25.457142857142856
149,SH237,20.32857142857143
150,SH410,22.87142857142857
151,SH493,21.514285714285716
152,SH312,23.84285714285714
153,SH178,22.32857142857143
154,SH433,23.17142857142857
155,SH259,23.071428571428573
156,SH073,20.714285714285715
157,SH225,22.37142857142857
158,SH198,24.5
159,SH090,23.728571428571428
160,SH094,24.642857142857142
161,SH149,24.142857142857142
162,SH228,24.1
163,SH253,19.057142857142857
164,SH044,22.114285714285714
165,SH363,21.15714285714286
166,SH375,24.5
167,SH417,24.1
168,SH518,20.057142857142857
169,SH550,24.15714285714286
170,SH294,25.242857142857144
171,SH056,20.542857142857144
172,SH447,22.942857142857143
173,SH465,21.65714285714286
174,SH332,24.642857142857142
175,SH359,22.071428571428573
176,SH022,22.37142857142857
177,SH520,22.47142857142857
178,SH205,19.557142857142857
179,SH161,23.571428571428573
180,SH204,21.52857142857143
181,SH528,22.728571428571428
182,SH108,21.414285714285715
183,SH548,19.9
184,SH285,24.242857142857144
185,SH051,19.17142857142857
186,SH185,23.15714285714286
187,SH487,24.214285714285715
188,SH434,26.314285714285713
189,SH424,18.67142857142857
190,SH368,21.5
191,SH016,23.242857142857144
192,SH365,20.071428571428573
193,SH446,24.142857142857142
194,SH066,20.17142857142857
195,SH071,22.214285714285715
196,SH381,25.47142857142857
197,SH532,23.771428571428572
198,SH006,21.32857142857143
199,SH156,22.37142857142857
200,SH086,21.728571428571428
201,SH534,20.314285714285713
202,SH399,22.142857142857142
203,SH489,22.071428571428573
204,SH180,20.32857142857143
205,SH316,21.757142857142856
206,SH186,21.614285714285714
207,SH337,21.65714285714286
208,SH234,20.257142857142856
